,title,link,,
0,Increasing Cybersecurity Through Emotional Engagement,https://www.liebertpub.com//doi/10.1089/cyber.2021.29224.editorial,,
1,Keeping the Human in the Loop: Awareness and Recognition of Cybersecurity Within Cyberpsychology,https://www.liebertpub.com//doi/10.1089/cyber.2021.29225.sde,,
2,Who Is Smart with Their Smartphones? Determinants of Smartphone Security Behavior,https://www.liebertpub.com//doi/10.1089/cyber.2020.0599,,
3,Successful Gamification of Cybersecurity Training,https://www.liebertpub.com//doi/10.1089/cyber.2020.0526,,
4,Exploring Workers' Subjective Experiences of Habit Formation in Cybersecurity: A Qualitative Survey,https://www.liebertpub.com//doi/10.1089/cyber.2020.0631,,
5,Perceived Vulnerability As a Determinant of Increased Risk for Cybersecurity Risk Behavior,https://www.liebertpub.com//doi/10.1089/cyber.2021.0043,,
6,Emotional Experiences of Cybersecurity Breach Victims,https://www.liebertpub.com//doi/10.1089/cyber.2020.0525,,
7,Disambiguating Between Privacy and Security in the Context of Health Care: New Insights on the Determinants of Health Technologies Use,https://www.liebertpub.com//doi/10.1089/cyber.2020.0600,,
8,Caregivers' Role in Cybersecurity for Aging Information Technology Users with Intellectual Disabilities,https://www.liebertpub.com//doi/10.1089/cyber.2020.0572,,
9,ACCRA: Robot Assistants Help the Elderly Stay Independent,https://www.liebertpub.com//doi/10.1089/cyber.2021.29226.ceu,,
10,Zoom 3.0: Is Your Avatar Ready?,https://www.liebertpub.com//doi/10.1089/cyber.2021.29222.editorial,,
11,Internet Use by People with Intellectual Disability: Exploring Digital Inequality?”A Systematic Review,https://www.liebertpub.com//doi/10.1089/cyber.2020.0499,,
12,Online Social Connection as a Buffer of Health Anxiety and Isolation During COVID-19,https://www.liebertpub.com//doi/10.1089/cyber.2020.0645,,
13,"In-Person and Virtual World Mindfulness Training: Trust, Satisfaction, and Learning",https://www.liebertpub.com//doi/10.1089/cyber.2019.0590,,
14,Aggression and Consistency of Self in Cybertrolling Behavior,https://www.liebertpub.com//doi/10.1089/cyber.2020.0424,,
15,Immersive Virtual Reality Therapy as a Support for Cardiac Rehabilitation: A Pilot Randomized-Controlled Trial,https://www.liebertpub.com//doi/10.1089/cyber.2020.0297,,
16,The Mediating Role of Impulsivity and the Moderating Role of Gender Between Fear of Missing Out and Gaming Disorder Among a Sample of Chinese University Students,https://www.liebertpub.com//doi/10.1089/cyber.2020.0283,,
17,The Role of Peer Support in the Growth Trajectory of Pathological Internet Use Among Youth: A Protective Factor,https://www.liebertpub.com//doi/10.1089/cyber.2020.0054,,
18,Superior Facilitation of an Action Observation Network by Congruent Character Movements in Brain?“Computer Interface Action-Observation Games,https://www.liebertpub.com//doi/10.1089/cyber.2020.0231,,
19,"The Instagram Infodemic: Cobranding of Conspiracy Theories, Coronavirus Disease 2019 and Authority-Questioning Beliefs",https://www.liebertpub.com//doi/10.1089/cyber.2020.0663,,
20,Real Organ Generation: Virtual 3D Organs Help Train Surgeons,https://www.liebertpub.com//doi/10.1089/cyber.2021.29223.ceu,,
21,How COVID Has Changed Online Dating?”And What Lies Ahead,https://www.liebertpub.com//doi/10.1089/cyber.2021.29219.editorial,,
22,Romance and Dating in the Digital Age: Impacts of Computer-Mediated Communication and a Global Pandemic,https://www.liebertpub.com//doi/10.1089/cyber.2021.29220.jld,,
23,The Hyperperception Model: When Your Partner's New Friends Inspire Jealousy and Failing to Use Social Distancing,https://www.liebertpub.com//doi/10.1089/cyber.2020.0492,,
24,Jealousy and Electronic Intrusion Mediated by Relationship Uncertainty in Married and Cohabiting Couples During COVID-19,https://www.liebertpub.com//doi/10.1089/cyber.2020.0669,,
25,"Exploring Links Between Online Infidelity, Mate Poaching Intentions, and the Likelihood of Meeting Offline",https://www.liebertpub.com//doi/10.1089/cyber.2020.0563,,
26,The Role of Individual Differences in Cyber Dating Abuse Perpetration,https://www.liebertpub.com//doi/10.1089/cyber.2020.0687,,
27,Are You Going to Delete Me? Latent Profiles of Post-Relationship Breakup Social Media Use and Emotional Distress,https://www.liebertpub.com//doi/10.1089/cyber.2020.0714,,
28,Simmering on the Back Burner or Playing with Fire? Examining the Consequences of Back-Burner Digital Communication Among Ex-Partners,https://www.liebertpub.com//doi/10.1089/cyber.2020.0717,,
29,Mobile-Mediated Communication in Romantic Relationships: The Effects of Communication Indicators and Love Attitude on Relationship Quality,https://www.liebertpub.com//doi/10.1089/cyber.2020.0675,,
30,Negotiating Desire and Uncertainty on Tinder During the COVID-19 Pandemic: Implications for the Transformation of Sexual Health Communication,https://www.liebertpub.com//doi/10.1089/cyber.2020.0685,,
